image_file,audio_file,final_prompt
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_finger_fast.wav,The sound of a finger rubbing on AluminumMesh at a fast speed.
AluminumMesh\12.jpg,AluminumMesh\AluminumMesh_finger_middle.wav,The sound of a finger rubbing on AluminumMesh at a medium speed.
AluminumMesh\13.jpg,AluminumMesh\AluminumMesh_finger_slow.wav,The sound of a finger rubbing on AluminumMesh at a slow speed.
AluminumMesh\8.jpg,AluminumMesh\AluminumMesh_nail_fast.wav,The sound of a nail rubbing on AluminumMesh at a fast speed.
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_nail_middle.wav,The sound of a nail rubbing on AluminumMesh at a medium speed.
AluminumMesh\14.jpg,AluminumMesh\AluminumMesh_nail_slow.wav,The sound of a nail rubbing on AluminumMesh at a slow speed.
AluminumMesh\1.jpg,AluminumMesh\AluminumMesh_stick_fast.wav,The sound of a plastic stick rubbing on AluminumMesh at a fast speed.
AluminumMesh\17.jpg,AluminumMesh\AluminumMesh_stick_middle.wav,The sound of a plastic stick rubbing on AluminumMesh at a medium speed.
AluminumMesh\10.jpg,AluminumMesh\AluminumMesh_stick_slow.wav,The sound of a plastic stick rubbing on AluminumMesh at a slow speed.
AluminumPunching1\6.jpg,AluminumPunching1\AluminumPunching1_finger_fast.wav,The sound of a finger rubbing on AluminumPunching at a fast speed.
AluminumPunching1\3.jpg,AluminumPunching1\AluminumPunching1_finger_middle.wav,The sound of a finger rubbing on AluminumPunching at a medium speed.
AluminumPunching1\5.jpg,AluminumPunching1\AluminumPunching1_finger_slow.wav,The sound of a finger rubbing on AluminumPunching at a slow speed.
AluminumPunching1\13.jpg,AluminumPunching1\AluminumPunching1_nail_fast.wav,The sound of a nail rubbing on AluminumPunching at a fast speed.
AluminumPunching1\4.jpg,AluminumPunching1\AluminumPunching1_nail_middle.wav,The sound of a nail rubbing on AluminumPunching at a medium speed.
AluminumPunching1\9.jpg,AluminumPunching1\AluminumPunching1_nail_slow.wav,The sound of a nail rubbing on AluminumPunching at a slow speed.
AluminumPunching1\10.jpg,AluminumPunching1\AluminumPunching1_stick_fast.wav,The sound of a plastic stick rubbing on AluminumPunching at a fast speed.
AluminumPunching1\2.jpg,AluminumPunching1\AluminumPunching1_stick_middle.wav,The sound of a plastic stick rubbing on AluminumPunching at a medium speed.
AluminumPunching1\4.jpg,AluminumPunching1\AluminumPunching1_stick_slow.wav,The sound of a plastic stick rubbing on AluminumPunching at a slow speed.
AluminumPunching2\2.jpg,AluminumPunching2\AluminumPunching2_finger_fast.wav,The sound of a finger rubbing on AluminumPunching at a fast speed.
AluminumPunching2\11.jpg,AluminumPunching2\AluminumPunching2_finger_middle.wav,The sound of a finger rubbing on AluminumPunching at a medium speed.
AluminumPunching2\1.jpg,AluminumPunching2\AluminumPunching2_finger_slow.wav,The sound of a finger rubbing on AluminumPunching at a slow speed.
